"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"grampergram","GM-PER-GM","Gram Per Gram","http://qudt.org/vocab/unit/GM-PER-GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"mass ratio consisting of the 0.001-fold of the SI base unit kilogram divided by the 0.001-fold of the SI base unit kilogram.",NA,320
"parts per million","PPM","Parts per million","http://qudt.org/vocab/unit/PPM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",319
"milligramspergram","MilliGM-PER-GM","Milligram Per Gram","http://qudt.org/vocab/unit/MilliGM-PER-GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,NA,316
"micrometer","MicroM","Micrometer","http://qudt.org/vocab/unit/MicroM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1e-06,NA,"""Micrometer"" is a unit for  'Length' expressed as \(microm\).",296
"wattspersquaremeter","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",295
"partperthousand","PPTH","Parts per thousand","http://qudt.org/vocab/unit/PPTH","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",285
"percentage","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",281
"millimeterperday","MilliM-PER-DAY","millimeters per day","http://qudt.org/vocab/unit/MilliM-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1.15741e-08,NA,NA,280
"permil","PPTH","Parts per thousand","http://qudt.org/vocab/unit/PPTH","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",276
"mph","MI-PER-HR","Mile per Hour","http://qudt.org/vocab/unit/MI-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.44704,"Miles per hour is an imperial unit of speed expressing the number of statute miles covered in one hour. It is currently the standard unit used for speed limits, and to express speeds generally, on roads in the United Kingdom and the United States. A common abbreviation is mph or MPH.",NA,273
"metercubedpermetercubed","M3-PER-M3","Cubic Meter Per Cubic Meter","http://qudt.org/vocab/unit/M3-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,268
"fahrenheit","DEG_F","Degree Fahrenheit","http://qudt.org/vocab/unit/DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",0.555555555555556,NA,"\(\textbf{Degree Fahrenheit} is an Imperial unit for 'Thermodynamic Temperature' expressed as \(\,^{\circ}{\rm F}\)",255
"micromoleperkilogram","MicroMOL-PER-KiloGM","Micromoles per kilogram","http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1e-06,NA,NA,254
"milligramperkilogram","MilliGM-PER-KiloGM","Milligram Per Kilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,252
"kilometer","KiloM","Kilometer","http://qudt.org/vocab/unit/KiloM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1000,"A common metric unit of length or distance. One kilometer equals exactly 1000 meters, about 0.621 371 19 mile, 1093.6133 yards, or 3280.8399 feet. Oddly, higher multiples of the meter are rarely used; even the distances to the farthest galaxies are usually measured in kilometers.",NA,247
"micromolepermole","MicroMOL-PER-MOL","Micromoles per mole","http://qudt.org/vocab/unit/MicroMOL-PER-MOL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,240
"partsperthousand","PPTH","Parts per thousand","http://qudt.org/vocab/unit/PPTH","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",239
"microsiemenspercentimeter","MicroS-PER-CentiM","Microsiemens Per Centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-04,NA,NA,237
"gramspercubiccentimeter","GM-PER-CentiM3","Gram Per Cubic Centimeter","http://qudt.org/vocab/unit/GM-PER-CentiM3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1000,NA,NA,236
"kilogrampermetercubed","KiloGM-PER-M3","Kilogram per Cubic Meter","http://qudt.org/vocab/unit/KiloGM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1,NA,"Kilogram per cubic metre is an SI derived unit of density, defined by mass in kilograms divided by volume in cubic metres. The official SI symbolic abbreviation is \(kg \cdot m^{-3}\), or equivalently either \(kg/m^3\).",231
"gramperday","GM-PER-DAY","Gram Per Day","http://qudt.org/vocab/unit/GM-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",1.157407e-08,NA,NA,228
"microsiemenpercentimeter","MicroS-PER-CentiM","Microsiemens Per Centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-04,NA,NA,227
"mole","MOL","Mole","http://qudt.org/vocab/unit/MOL","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",1,NA,"The mole is a unit of measurement used in chemistry to express amounts of a chemical substance. The official definition, adopted as part of the SI system in 1971, is that one mole of a substance contains just as many elementary entities (atoms, molecules, ions, or other kinds of particles) as there are atoms in 12 grams of carbon-12 (carbon-12 is the most common atomic form of carbon, consisting of atoms having 6 protons and 6 neutrons).  This corresponds to a value of \(6.02214179(30) \times 10^{23}\) elementary entities of the substance. It is one of the base units in the International System of Units, and has the unit symbol \(mol\). A Mole is the SI base unit of the amount of a substance (as distinct from its mass or weight). Moles measure the actual number of atoms or molecules in an object. An earlier name is gram molecular weight, because one mole of a chemical compound is the same number of grams as the molecular weight of a molecule of that compound measured in atomic mass units.",223
"ph","PH","Acidity","http://qudt.org/vocab/unit/PH","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,NA,222
"year (yyyy)","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,219
"metersquared","M2","Square Meter","http://qudt.org/vocab/unit/M2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",1,"The S I unit of area is the square metre.",NA,212
"microsiemenpercentimeter","MicroS-PER-CentiM","Microsiemens Per Centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-04,NA,NA,209
"decimal degrees","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by \(^\circ\) (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  \(2\pi /360 rad\), \(0.017453 rad\). It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",208
"decimaldegree","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by \(^\circ\) (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  \(2\pi /360 rad\), \(0.017453 rad\). It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",206
"watt","W","Watt","http://qudt.org/vocab/unit/W","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,"The SI unit of power. Power is the rate at which work is done, or (equivalently) the rate at which energy is expended. One watt is equal to a power rate of one joule of work per second of time. This unit is used both in mechanics and in electricity, so it links the mechanical and electrical units to one another. In mechanical terms, one watt equals about 0.001 341 02 horsepower (hp) or 0.737 562 foot-pound per second (lbf/s). In electrical terms, one watt is the power produced by a current of one ampere flowing through an electric potential of one volt. The name of the unit honors James Watt (1736-1819), the British engineer whose improvements to the steam engine are often credited with igniting the Industrial Revolution.",NA,205
"microgram","MicroGM","Microgram","http://qudt.org/vocab/unit/MicroGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1e-09,NA,NA,204
"literspersecond","L-PER-SEC","Liter Per Second","http://qudt.org/vocab/unit/L-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.001,NA,NA,204
"hhhh","HR","Hour","http://qudt.org/vocab/unit/HR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",3600,"The hour (common symbol: h or hr) is a unit of measurement of time. In modern usage, an hour comprises 60 minutes, or 3,600 seconds. It is approximately 1/24 of a mean solar day. An hour in the Universal Coordinated Time (UTC) time standard can include a negative or positive leap second, and may therefore have a duration of 3,599 or 3,601 seconds for adjustment purposes. Although it is not a standard defined by the International System of Units, the hour is a unit accepted for use with SI, represented by the symbol h.",NA,204
"percent","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",202
"millimeters","MilliM","Millimeter","http://qudt.org/vocab/unit/MilliM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.001,"The millimetre (International spelling as used by the International Bureau of Weights and Measures) or millimeter (American spelling) (SI unit symbol mm) is a unit of length in the metric system, equal to one thousandth of a metre, which is the SI base unit of length. It is equal to 1000 micrometres or 1000000 nanometres. A millimetre is equal to exactly 5/127 (approximately 0.039370) of an inch.",NA,201
"acre","AC","Acre","http://qudt.org/vocab/unit/AC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",4046.8564224,"The acre is a unit of area in a number of different systems, including the imperial and U.S. customary systems. Its international symbol is ac. The most commonly used acres today are the international acre and, in the United States, the survey acre. The most common use of the acre is to measure tracts of land. One international acre is equal to 4046.8564224 square metres.",NA,197
"milliliterperliter","MilliL-PER-L","Millilitre Per Liter","http://qudt.org/vocab/unit/MilliL-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,NA,193
"ppm","PPM","Parts per million","http://qudt.org/vocab/unit/PPM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",192
"megapascal","MegaPA","Megapascal","http://qudt.org/vocab/unit/MegaPA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e+06,NA,NA,190
"%","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",190
"metersquaredpermetersquared","M2-PER-M2","square meter per square meter","http://qudt.org/vocab/unit/M2-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,188
"milligramspercubicmeter","MilliGM-PER-M3","Milligram Per Cubic Meter","http://qudt.org/vocab/unit/MilliGM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-06,NA,NA,185
"grams","GM","Gram","http://qudt.org/vocab/unit/GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.001,"A unit of mass in the metric system. The name comes from the Greek gramma, a small weight identified in later Roman and Byzantine times with the Latin scripulum or scruple (the English scruple is equal to about 1.3 grams). The gram was originally defined to be the mass of one cubic centimeter of pure water, but to provide precise standards it was necessary to construct physical objects of specified mass. One gram is now defined to be 1/1000 of the mass of the standard kilogram, a platinum-iridium bar carefully guarded by the International Bureau of Weights and Measures in Paris for more than a century. (The kilogram, rather than the gram, is considered the base unit of mass in the SI.) The gram is a small mass, equal to about 15.432 grains or 0.035 273 966 ounce.",NA,185
"millivolt","MilliV","Millivolt","http://qudt.org/vocab/unit/MilliV","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",0.001,NA,NA,181
"cubicmeterspersecond","M3-PER-SEC","Cubic Meter per Second","http://qudt.org/vocab/unit/M3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1,NA,"A cubic metre per second (\(m^{3}s^{-1}, m^{3}/s\)), cumecs or cubic meter per second in American English) is a derived SI unit of flow rate equal to that of a stere or cube with sides of one metre ( u0303 39.37 in) in length exchanged or moving each second. It is popularly used for water flow, especially in rivers and streams, and fractions for HVAC values measuring air flow.",180
