Format,Example,Regex
YYYY-MM-DD hhmmss+hh,1976-09-23 111111+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DDThhmmss+hh,1976-09-23T111111+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DD hhmmss-hh:mm,1976-09-23 111111-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThhmmss-hh:mm,1976-09-23T111111-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hhmmss-hhmm,1976-09-23 111111-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThhmmss-hhmm,1976-09-23T111111-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hhmmss-hh,1976-09-23 111111-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DDThhmmss-hh,1976-09-23T111111-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DD hh:mm,1976-09-23 11:11,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh:mm,1976-09-23T11:11,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh:mmZ,1976-09-23 11:11Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)Z$
YYYY-MM-DDThh:mmZ,1976-09-23T11:11Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)Z$
YYYY-MM-DD hh:mm+hh:mm,1976-09-23 11:11+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh:mm+hh:mm,1976-09-23T11:11+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh:mm+hhmm,1976-09-23 11:11+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThh:mm+hhmm,1976-09-23T11:11+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hh:mm+hh,1976-09-23 11:11+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DDThh:mm+hh,1976-09-23T11:11+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DD hh:mm-hh:mm,1976-09-23 11:11-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh:mm-hh:mm,1976-09-23T11:11-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
